2019-Jun-09 18:11:56 connectionpool.py[line:393]/DEBUG/  https://www.alexa.com:443 "GET / HTTP/1.1" 200 821249
2019-Jun-09 18:11:56 connectionpool.py[line:393]/DEBUG/  https://www.alexa.com:443 "GET / HTTP/1.1" 200 821249
2019-Jun-09 18:11:56 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:11:56 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:11:56 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:11:57 connectionpool.py[line:393]/DEBUG/  https://www.alexa.com:443 "GET / HTTP/1.1" 200 821249
2019-Jun-09 18:11:57 connectionpool.py[line:393]/DEBUG/  https://www.alexa.com:443 "GET / HTTP/1.1" 200 821249
2019-Jun-09 18:11:57 connectionpool.py[line:393]/DEBUG/  https://www.alexa.com:443 "GET / HTTP/1.1" 200 821249
2019-Jun-09 18:11:58 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:11:58 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:11:58 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:11:58 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:11:58 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:11:58 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
