2019-Jun-09 18:18:41 proxyDBManager.py[line:79]/DEBUG/  ===== 成功删除 proxy 表  =====
2019-Jun-09 18:18:41 proxyDBManager.py[line:68]/DEBUG/  ===== 成功创建数据库 proxy 表 =====
2019-Jun-09 18:18:41 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:41 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:41 connectionpool.py[line:205]/DEBUG/  Starting new HTTP connection (1): 127.0.0.1:1081
2019-Jun-09 18:18:42 connectionpool.py[line:393]/DEBUG/  http://127.0.0.1:1081 "GET http://www.kuaidaili.com/free/inha/2 HTTP/1.1" 301 178
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.kuaidaili.com:443
2019-Jun-09 18:18:42 connectionpool.py[line:393]/DEBUG/  https://www.kuaidaili.com:443 "GET /free/inha/2 HTTP/1.1" 200 5412
2019-Jun-09 18:18:42 kuaidailiSpider.py[line:80]/DEBUG/  抓取 快代理 网站共计 15 个代理
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 retry.py[line:210]/DEBUG/  Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (2): www.alexa.com:443
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (3): www.alexa.com:443
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (2): www.alexa.com:443
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (2): www.alexa.com:443
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (1): www.alexa.com:443
2019-Jun-09 18:18:42 connectionpool.py[line:823]/DEBUG/  Starting new HTTPS connection (2): www.alexa.com:443
